Contrast,Coef,Std.Err.,z,P>|z|,P>|z| (adj)
3 to 1 - 3 to 2,2.9739368560120085,1.8987230859988318,1.5662825600751338,0.11728248199168578,0.58240795357546
3 to 1 - 3 to 4,4.599695114507717,1.7458148108103997,2.6346981856412124,0.008421212603630934,0.08109148820212088
3 to 1 - 3 to 5,4.3669906624245485,1.755100840129561,2.48817080054624,0.012840205019740702,0.10980093861937791
3 to 1 - 3 to 6,4.764567021487067,1.97669502199903,2.4103703244361205,0.015936335408088365,0.12060180420943778
3 to 2 - 3 to 4,1.6257582584957082,2.02110993992391,0.8043888293166844,0.421172450519407,0.9606199042438576
3 to 2 - 3 to 5,1.39305380641254,2.0557686111166418,0.6776316161651423,0.4980052947771576,0.9606199042438576
3 to 2 - 3 to 6,1.7906301654750583,2.2048554722039637,0.8121304040328559,0.4167168087961133,0.9606199042438576
3 to 4 - 3 to 5,-0.23270445208316826,1.8662558896012527,-0.12469053862323685,0.9007685480255692,0.9966538649138637
3 to 4 - 3 to 6,0.16487190697935006,2.08461183235602,0.07908997944860195,0.936961053787928,0.9966538649138637
3 to 5 - 3 to 6,0.3975763590625183,2.10836127098833,0.1885712683747732,0.8504288532859912,0.9966538649138637
